"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","TOTAL","XPAR","XIMPAR","DIFERENCIA_PAR_IMPAR"
3,3,3,4,4,3,3,2,3,2,30.0,14,16,-2.0
4,3,2,2,3,3,3,4,3,3,30.0,15,15,0.0
4,3,2,3,3,4,4,3,3,3,32.0,16,16,0.0
3,3,2,2,3,2,2,3,3,3,26.0,13,13,0.0
3,4,4,4,3,4,3,3,3,4,35.0,19,16,3.0
4,4,3,3,3,4,3,3,4,3,34.0,17,17,0.0
4,4,3,4,4,3,4,4,3,3,36.0,18,18,0.0
4,3,2,3,4,4,3,4,4,2,33.0,16,17,-1.0
4,4,2,3,4,3,4,3,3,3,33.0,16,17,-1.0
3,3,4,4,3,3,2,3,3,2,30.0,15,15,0.0
3,3,3,3,3,3,4,2,3,3,30.0,14,16,-2.0
4,4,3,4,4,4,4,4,3,3,37.0,19,18,1.0
4,4,3,4,4,4,4,4,3,4,38.0,20,18,2.0
4,2,1,3,3,2,2,2,3,1,23.0,10,13,-3.0
4,4,4,4,4,3,4,3,3,3,36.0,17,19,-2.0
9,9,9,9,9,9,9,9,9,9,,,,
4,3,3,3,3,3,3,4,3,2,31.0,15,16,-1.0
4,4,4,4,4,4,3,3,2,4,36.0,19,17,2.0
4,4,3,4,4,4,4,3,3,3,36.0,18,18,0.0
3,3,3,3,3,4,4,3,3,4,33.0,17,16,1.0
4,4,3,4,4,4,3,3,4,2,35.0,17,18,-1.0
4,4,4,4,4,3,4,3,3,3,36.0,17,19,-2.0
